,filename,msePTC,rmsePTC,distCNTRD,"rmsePTC (x,y,z)",stdPTC
0,file1903_frac_10,1e-05,0.003,0.003,[0.001 0.003 0.   ],0.0
1,file1903_frac_11,0.00045,0.021,0.021,[0.003 0.02  0.008],0.00017
2,file1903_frac_12,0.00147,0.038,0.006,[0.027 0.026 0.008],0.00069
3,file1903_frac_13,0.0,0.002,0.002,[0.    0.001 0.002],0.0
4,file1903_frac_14,1e-05,0.004,0.003,[0.001 0.004 0.001],1e-05
5,file1903_frac_15,0.00023,0.015,0.011,[0.005 0.01  0.01 ],8e-05
6,file1903_frac_16,1e-05,0.003,0.003,[0.    0.001 0.003],0.0
7,file1903_frac_17,1e-05,0.002,0.002,[0.    0.001 0.002],0.0
8,file1903_frac_19,2e-05,0.005,0.004,[0.002 0.005 0.001],1e-05
9,file1903_frac_2,0.00011,0.01,0.01,[0.001 0.007 0.008],3e-05
10,file1903_frac_20,1e-05,0.003,0.002,[0.001 0.002 0.001],0.0
11,file1903_frac_21,0.0001,0.01,0.01,[0.002 0.009 0.004],4e-05
12,file1903_frac_22,3e-05,0.006,0.006,[0.001 0.006 0.001],2e-05
13,file1903_frac_23,3e-05,0.006,0.004,[0.003 0.005 0.002],2e-05
14,file1903_frac_24,1e-05,0.003,0.002,[0.    0.001 0.003],0.0
15,file1903_frac_25,1e-05,0.003,0.002,[0.001 0.002 0.002],0.0
16,file1903_frac_27,1e-05,0.003,0.002,[0.    0.002 0.002],0.0
17,file1903_frac_28,0.0,0.002,0.001,[0.001 0.001 0.002],0.0
18,file1903_frac_29,1e-05,0.003,0.002,[0.001 0.002 0.001],0.0
19,file1903_frac_3,3e-05,0.006,0.005,[0.002 0.005 0.002],1e-05
20,file1903_frac_30,4e-05,0.006,0.006,[0.001 0.005 0.002],1e-05
21,file1903_frac_31,1e-05,0.003,0.003,[0.    0.003 0.002],1e-05
22,file1903_frac_32,1e-05,0.003,0.002,[0.001 0.001 0.002],0.0
23,file1903_frac_33,0.0017,0.041,0.041,[0.    0.035 0.021],0.00051
24,file1903_frac_34,7e-05,0.008,0.008,[0.001 0.008 0.002],3e-05
25,file1903_frac_35,1e-05,0.003,0.002,[0.002 0.002 0.001],0.0
26,file1903_frac_36,0.00031,0.018,0.016,[0.006 0.015 0.007],0.00012
27,file1903_frac_37,3e-05,0.005,0.004,[0.001 0.004 0.004],1e-05
28,file1903_frac_38,2e-05,0.004,0.004,[0.001 0.003 0.003],0.0
29,file1903_frac_39,1e-05,0.004,0.003,[0.    0.003 0.002],0.0
30,file1903_frac_4,0.0001,0.01,0.009,[0.002 0.008 0.005],3e-05
31,file1903_frac_40,0.0,0.001,0.001,[0.001 0.001 0.001],0.0
32,file1903_frac_41,7e-05,0.008,0.007,[0.003 0.007 0.003],3e-05
33,file1903_frac_43,0.00562,0.075,0.071,[0.022 0.068 0.023],0.00205
34,file1903_frac_44,2e-05,0.005,0.003,[0.002 0.003 0.003],1e-05
35,file1903_frac_45,0.00345,0.059,0.056,[0.011 0.05  0.029],0.00118
36,file1903_frac_46,2e-05,0.004,0.002,[0.002 0.003 0.002],1e-05
37,file1903_frac_5,0.00045,0.021,0.021,[0.002 0.021 0.004],0.00021
38,file1903_frac_6,0.00126,0.036,0.002,[0.029 0.02  0.007],0.00063
39,file1903_frac_7,0.00011,0.01,0.007,[0.005 0.009 0.002],6e-05
40,file1903_frac_8,0.00303,0.055,0.003,[0.035 0.04  0.016],0.00132
41,file1903_frac_9,1e-05,0.003,0.001,[0.002 0.001 0.002],0.0
